,Date,Country,Dead,Source,More_Info
0,25-Jun-2018,USA,N,"R. Collier, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf
1,18-Jun-2018,USA,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf
2,09-Jun-2018,USA,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf
3,08-Jun-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf
4,04-Jun-2018,MEXICO,N,A .Kipper,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf
5,03-Jun-2018,AUSTRALIA,N,"Daily Telegraph, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf
6,03-Jun-2018,BRAZIL,Y,"Diario de Pernambuco, 6/4/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf
7,27-May-2018,USA,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf
8,26-May-2018,USA,N,"K.McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf
9,26-May-2018,USA,N,"K. McMurray, Tracking Sharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf
10,24-May-2018,AUSTRALIA,N,"ABC.net.au ,05/24/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.24-CairnsAquarium.pdf
11,21-May-2018,USA,N,"C. Creswell, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.21-deBoer.pdf
12,13-May-2018,USA,N,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.b-Turrell.pdf
13,13-May-2018,ENGLAND,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.13.a-Berryman.pdf
14,May 2018,AUSTRALIA,N,"Perth Now, 6/30/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.00-Brunning.pdf
15,12-May-2018,SOUTH AFRICA,N,"B.Jacob, Dispatch Live, 5/12/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.12-EastLondon.pdf
16,09-May-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.09-SharpesBeach.pdf
17,Reported 30-Apr-2018,THAILAND,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.30.R-Thailand.pdf
18,28-Apr-2018,COSTA RICA,N,Costa Rica Star. 4/28/2018,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.b-CostaRica.pdf
19,28-Apr-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.28.a-Murray.pdf
20,25-Apr-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.b-Lee.pdf
21,25-Apr-2018,AUSTRALIA,N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.25.a-Bruce.pdf
22,24-Apr-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.24-Burch.pdf
23,23-Apr-2018,MALDIVES,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.23-Maldives.pdf
24,22-Apr-2018,SOUTH AFRICA,N,"Africa News Agency, 4/22/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.22-PlettenbergBay.pdf
25,19-Apr-2018,USA,N,"The Garden Island, 4/19/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.19-McWilliams.pdf
26,15-Apr-2018,THAILAND,N,"Straits Times, 4/16/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.d-Thailand.pdf
28,15-Apr-2018,AUSTRALIA,N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.b-Longrass.pdf
29,15-Apr-2018,AUSTRALIA,N,"B.Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.15.a-Travaglini.pdf
30,14-Apr-2018,BAHAMAS,N,"Tribune242,",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.14-Rowan.pff
31,Reported 10-Apr-2018,BRAZIL,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.10.R-Paz.pdf
32,09-Apr-2018,NEW CALEDONIA,N,"Les Nouvelles Caledoniennes, 4/10/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.09-Magenta.pdf
33,05-Apr-2018,BAHAMAS,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.05-McConnell.pdf
34,03-Apr-2018,SOUTH AFRICA,N,"K. McMurray, TrackingSharks.com",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.04.03-StFrancisBay.pdf
35,31-Mar-2018,USA,N,"Khon2, 3/31/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.31-Hawaii.pdf
36,14-Mar-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.14-WatermansBay.pdf
37,9-Mar-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.b-Crossland.pdf
38,9-Mar-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.03.09.a-Weight.pdf
39,24-Feb-2018,SOUTH AFRICA,N,"International Business Times, 3/1/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.24-Polly.pdf
40,23-Feb-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.23-Shurapey.pdf
41,18-Feb-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.17-Palmer.pdf
42,15-Feb-2018,AUSTRALIA,N,"B. Myatt, GSAF",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.15-Hoare.pdf
43,14-Feb-2018,AUSTRALIA,N,"Sunshine Coast Daily, 2/15/2018",http://sharkattackfile.net/spreadsheets/pdf_directory/2018.02.14-Babd.pdf
